feature1,feature2,feature3,feature4,feature5,feature6,feature7,target,Prediction,Evasion_Success
2,2,5,5,0,0,4,1,1.0,False
5,5,5,1,0,0,4,1,1.0,False
3,5,5,4,1,0,2,1,1.0,False
2,4,5,4,2,0,1,1,0.0,True
3,1,5,1,1,0,5,1,1.0,False
3,4,5,1,2,0,4,1,1.0,False
3,0,5,3,5,0,1,1,0.0,True
3,3,5,4,0,0,3,1,1.0,False
5,3,5,1,0,0,4,1,1.0,False
5,1,5,2,3,0,1,1,0.0,True
4,5,5,1,1,0,3,1,1.0,False
5,0,5,3,3,0,3,1,1.0,False
3,2,5,4,3,0,5,1,1.0,False
3,3,5,2,2,0,4,1,1.0,False
2,3,5,4,0,0,2,1,1.0,False
1,2,5,0,3,0,2,1,1.0,False
3,2,5,3,3,0,2,1,1.0,False
3,3,5,1,4,0,1,1,0.0,True
2,5,5,5,0,0,2,1,1.0,False
5,5,5,3,5,0,4,1,1.0,False
5,4,5,3,5,0,3,1,1.0,False
5,5,5,4,0,0,4,1,1.0,False
5,4,5,1,5,0,5,1,1.0,False
4,1,5,1,5,0,4,1,1.0,False
5,0,5,3,4,0,3,1,1.0,False
5,0,5,3,4,0,4,1,1.0,False
3,0,5,2,1,0,5,1,1.0,False
4,2,5,2,2,0,1,1,0.0,True
5,1,5,1,0,0,2,1,1.0,False
5,1,5,5,5,0,1,1,0.0,True
5,1,5,2,2,0,2,1,1.0,False
2,2,5,4,5,0,2,1,1.0,False
3,4,5,4,2,0,1,1,0.0,True
1,3,5,0,2,0,3,1,1.0,False
3,5,5,4,2,0,4,1,1.0,False
2,2,5,1,2,0,1,1,0.0,True
3,3,5,1,5,0,2,1,1.0,False
2,5,5,5,0,0,4,1,1.0,False
2,2,5,2,0,0,1,1,0.0,True
5,3,5,3,5,0,4,1,1.0,False
2,4,5,2,4,0,2,1,1.0,False
2,5,5,1,1,0,3,1,1.0,False
3,2,5,3,0,0,4,1,1.0,False
3,3,5,2,1,0,2,1,1.0,False
5,3,5,2,1,0,3,1,1.0,False
5,2,5,5,3,0,2,1,1.0,False
5,3,5,2,4,0,5,1,1.0,False
3,4,5,3,2,0,5,1,1.0,False
2,5,5,1,0,0,1,1,0.0,True
2,4,5,3,3,0,2,1,1.0,False
0,2,5,0,1,0,2,1,1.0,False
2,3,5,5,4,0,3,1,1.0,False
2,1,5,5,1,0,5,1,1.0,False
5,4,5,3,1,0,3,1,1.0,False
5,2,5,3,4,0,3,1,1.0,False
3,0,5,4,5,0,3,1,1.0,False
3,2,5,4,1,0,1,1,0.0,True
3,2,5,2,2,0,1,1,0.0,True
4,5,5,2,4,0,5,1,1.0,False
4,2,5,5,2,0,3,1,1.0,False
4,5,5,3,5,0,5,1,1.0,False
1,5,5,0,1,0,3,1,1.0,False
4,3,5,3,5,0,4,1,1.0,False
2,5,5,5,4,0,2,1,1.0,False
4,4,5,5,2,0,2,1,1.0,False
5,1,5,5,3,0,3,1,1.0,False
3,0,5,5,4,0,3,1,1.0,False
3,2,5,3,2,0,1,1,0.0,True
3,0,5,5,4,0,1,1,0.0,True
5,2,5,3,2,0,4,1,1.0,False
4,0,5,3,2,0,4,1,1.0,False
5,4,5,2,3,0,1,1,0.0,True
5,1,5,5,5,0,4,1,1.0,False
0,5,5,0,4,0,2,1,1.0,False
3,5,5,1,1,0,1,1,0.0,True
1,0,5,0,2,0,2,1,1.0,False
4,5,5,1,3,0,2,1,1.0,False
5,2,5,2,5,0,4,1,1.0,False
3,5,5,2,5,0,3,1,1.0,False
4,4,5,3,0,0,2,1,1.0,False
0,1,5,0,2,0,1,1,0.0,True
5,1,5,4,1,0,5,1,1.0,False
3,3,5,3,0,0,2,1,1.0,False
4,1,5,2,2,0,5,1,1.0,False
3,1,5,4,4,0,5,1,1.0,False
2,5,5,3,3,0,1,1,0.0,True
0,2,5,0,5,0,5,1,1.0,False
5,2,5,2,1,0,5,1,1.0,False
4,0,5,5,1,0,1,1,0.0,True
0,2,5,0,1,0,1,1,1.0,False
2,3,5,4,2,0,5,1,1.0,False
3,2,5,2,2,0,5,1,1.0,False
2,5,5,2,5,0,4,1,1.0,False
3,4,5,1,5,0,5,1,1.0,False
2,5,5,2,0,0,3,1,1.0,False
4,5,5,2,2,0,3,1,1.0,False
5,2,5,4,2,0,4,1,1.0,False
3,3,5,1,5,0,1,1,0.0,True
3,5,5,3,4,0,2,1,1.0,False
4,0,5,3,3,0,3,1,1.0,False
3,2,5,3,4,0,4,1,1.0,False
4,3,5,4,5,0,1,1,0.0,True
1,0,5,0,1,0,3,1,1.0,False
3,2,5,1,5,0,3,1,1.0,False
3,2,5,3,1,0,5,1,1.0,False
5,2,5,1,0,0,1,1,0.0,True
3,4,5,4,1,0,1,1,0.0,True
4,1,5,2,2,0,1,1,0.0,True
3,3,5,5,4,0,5,1,1.0,False
1,3,5,0,1,0,4,1,1.0,False
